game_id,date,club_id,is_home,own_restday,opponent_restday,own_market_value,opponent_market_value,own_position,opponent_position,own_streak_2,opponent_streak_2,own_streak_5,opponent_streak_5,own_goals,opponent_goals,target_result
2460633,2014-08-23,3,1,7.0,105.0,211700000.0,1214670000.0,12.0,13.0,0.0,0.0,0.0,0.0,0,0,1
2460642,2014-08-30,3,0,7.0,6.0,219600000.0,636350000.0,4.0,16.0,1.0,1.0,1.0,5.0,2,0,2
2460652,2014-09-13,3,0,14.0,14.0,228450000.0,94650000.0,9.0,6.0,4.0,4.0,4.0,4.0,0,0,1
2460660,2014-09-21,3,1,8.0,8.0,202750000.0,616200000.0,8.0,7.0,4.0,4.0,5.0,8.0,0,0,1
2460667,2014-09-24,3,0,3.0,4.0,227025000.0,471725000.0,9.0,3.0,2.0,3.0,6.0,10.0,0,1,0
2460678,2014-09-27,3,1,3.0,4.0,208225000.0,2723799999.0,13.0,1.0,1.0,4.0,6.0,11.0,0,2,0
2460688,2014-10-04,3,0,7.0,6.0,205200000.0,462100000.0,14.0,5.0,0.0,4.0,5.0,6.0,2,3,0
2460696,2014-10-18,3,1,14.0,14.0,230375000.0,1868800000.0,11.0,14.0,0.0,0.0,2.0,4.0,2,1,2
2460705,2014-10-24,3,0,6.0,6.0,242550000.0,390450000.0,10.0,18.0,3.0,1.0,4.0,1.0,1,0,2
2460714,2014-11-02,3,1,9.0,8.0,175400000.0,292350000.0,11.0,16.0,6.0,0.0,6.0,3.0,0,1,0
2460720,2014-11-08,3,0,6.0,6.0,230150000.0,575800000.0,10.0,5.0,3.0,3.0,6.0,8.0,4,3,2
2460732,2014-11-22,3,1,14.0,15.0,206175000.0,561950000.0,11.0,13.0,3.0,0.0,9.0,6.0,1,2,0
2460735,2014-11-29,3,0,7.0,7.0,233450000.0,1058825000.0,12.0,3.0,3.0,4.0,9.0,8.0,1,5,0
2460750,2014-12-06,3,1,7.0,7.0,198575000.0,315225000.0,12.0,3.0,0.0,6.0,6.0,12.0,1,2,0
2460752,2014-12-13,3,0,7.0,7.0,205900000.0,1092525000.0,11.0,6.0,0.0,6.0,3.0,12.0,2,1,2
2460768,2014-12-16,3,1,3.0,3.0,199200000.0,309000000.0,10.0,11.0,3.0,1.0,6.0,3.0,0,0,1
2460772,2014-12-20,3,0,4.0,3.0,233825000.0,1024325000.0,11.0,2.0,4.0,2.0,4.0,8.0,1,2,0
2460787,2015-01-31,3,0,42.0,42.0,229600000.0,1053675000.0,10.0,16.0,1.0,1.0,4.0,5.0,2,0,2
2460795,2015-02-04,3,1,4.0,4.0,248000000.0,661200000.0,10.0,16.0,3.0,1.0,7.0,5.0,0,0,1
2460805,2015-02-07,3,1,3.0,3.0,238350000.0,184925000.0,11.0,15.0,4.0,0.0,8.0,2.0,0,0,1
2460809,2015-02-14,3,0,7.0,8.0,234225000.0,811775000.0,11.0,3.0,2.0,3.0,6.0,9.0,0,1,0
2460822,2015-02-21,3,1,7.0,6.0,237725000.0,569725000.0,13.0,10.0,1.0,0.0,5.0,2.0,1,1,1
